Movie Title ,Movie Rating
IMDb Charts,9.3
1. The Shawshank Redemption,Rate
2. The Godfather,9.2
3. The Dark Knight,Rate
4. The Godfather Part II,9.0
5. 12 Angry Men,Rate
6. Schindler's List,9.0
7. The Lord of the Rings: The Return of the King,Rate
8. Pulp Fiction,9.0
9. The Lord of the Rings: The Fellowship of the Ring,Rate
"10. The Good, the Bad and the Ugly",9.0
11. Forrest Gump,Rate
12. Fight Club,9.0
13. The Lord of the Rings: The Two Towers,Rate
14. Inception,8.9
15. Spider-Man: Across the Spider-Verse,Rate
16. Star Wars: Episode V - The Empire Strikes Back,8.8
17. The Matrix,Rate
18. GoodFellas,8.8
19. One Flew Over the Cuckoo's Nest,Rate
20. Se7en,8.8
21. It's a Wonderful Life,Rate
22. Shichinin no samurai,8.8
23. The Silence of the Lambs,Rate
24. Interstellar,8.8
25. Saving Private Ryan,Rate
26. Cidade de Deus,8.8
27. Life Is Beautiful,Rate
28. The Green Mile,8.9
29. Oppenheimer,Rate
30. Star Wars: Episode IV - A New Hope,8.7
31. Terminator 2: Judgment Day,Rate
32. Back to the Future,8.7
33. Spirited Away,Rate
34. The Pianist,8.7
35. Psycho,Rate
36. Parasite,8.7
37. Gladiator,Rate
38. The Lion King,8.6
39. Léon,Rate
40. American History X,8.6
41. The Departed,Rate
42. Whiplash,8.6
43. The Prestige,Rate
44. The Usual Suspects,8.6
45. Casablanca,Rate
46. Hotaru no haka,8.7
47. Harakiri,Rate
48. The Intouchables,8.6
49. Modern Times,Rate
50. Cinema Paradiso,8.6
51. Once Upon a Time in the West,Rate
52. Rear Window,8.6
53. Alien,Rate
54. City Lights,8.6
55. Apocalypse Now,Rate
56. Memento,8.7
57. Django Unchained,Rate
58. Indiana Jones and the Raiders of the Lost Ark,8.6
59. WALL·E,Rate
60. The Lives of Others,8.6
61. Sunset Blvd.,Rate
62. Paths of Glory,8.5
63. Avengers: Infinity War,Rate
64. The Shining,8.6
65. The Great Dictator,Rate
66. Witness for the Prosecution,8.5
67. Spider-Man: Into the Spider-Verse,Rate
68. Alien 2,8.5
69. American Beauty,Rate
70. The Dark Knight Rises,8.5
71. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Rate
72. Inglourious Basterds,8.5
73. Oldeuboi,Rate
74. كوكو,8.5
75. Amadeus,Rate
76. Toy Story,8.5
77. Braveheart,Rate
78. Das Boot,8.5
79. Joker,Rate
80. Avengers: Endgame,8.5
81. Princess Mononoke,Rate
82. Good Will Hunting,8.5
83. Once Upon a Time in America,Rate
